Real,Prevista,Programada,Date,Time
30.503,30.075,30.050,2023-12-31,21:00:00
30.430,30.089,30.050,2023-12-31,21:05:00
30.213,29.972,30.050,2023-12-31,21:10:00
29.997,29.723,29.750,2023-12-31,21:15:00
29.831,29.419,29.750,2023-12-31,21:20:00
29.740,29.137,29.750,2023-12-31,21:25:00
29.378,28.877,29.250,2023-12-31,21:30:00
29.190,28.627,29.250,2023-12-31,21:35:00
28.921,28.374,29.250,2023-12-31,21:40:00
28.699,28.118,28.040,2023-12-31,21:45:00
28.478,27.848,28.040,2023-12-31,21:50:00
28.176,27.552,28.040,2023-12-31,21:55:00
27.746,27.229,27.132,2023-12-31,22:00:00
27.439,26.912,27.132,2023-12-31,22:05:00
27.165,26.633,27.132,2023-12-31,22:10:00
26.941,26.390,26.232,2023-12-31,22:15:00
26.623,26.172,26.232,2023-12-31,22:20:00
26.325,25.962,26.232,2023-12-31,22:25:00
26.205,25.762,25.832,2023-12-31,22:30:00
26.037,25.564,25.832,2023-12-31,22:35:00
25.898,25.361,25.832,2023-12-31,22:40:00
25.738,25.154,25.512,2023-12-31,22:45:00
25.640,24.982,25.512,2023-12-31,22:50:00
25.463,24.888,25.512,2023-12-31,22:55:00
25.325,24.870,24.600,2023-12-31,23:00:00
25.207,24.858,24.600,2023-12-31,23:05:00
25.180,24.780,24.600,2023-12-31,23:10:00
25.021,24.635,24.416,2023-12-31,23:15:00
24.848,24.468,24.416,2023-12-31,23:20:00
24.764,24.326,24.416,2023-12-31,23:25:00
24.673,24.207,24.172,2023-12-31,23:30:00
24.509,24.104,24.172,2023-12-31,23:35:00
24.390,24.011,24.172,2023-12-31,23:40:00
24.299,23.926,23.901,2023-12-31,23:45:00
24.159,23.837,23.901,2023-12-31,23:50:00
23.925,23.731,23.901,2023-12-31,23:55:00
23.548,23.608,23.580,2024-01-01,00:00:00
23.578,23.492,23.580,2024-01-01,00:05:00
23.612,23.405,23.580,2024-01-01,00:10:00
23.495,23.348,23.603,2024-01-01,00:15:00
23.393,23.316,23.603,2024-01-01,00:20:00
23.363,23.303,23.603,2024-01-01,00:25:00
23.293,23.308,23.434,2024-01-01,00:30:00
23.330,23.293,23.434,2024-01-01,00:35:00
23.215,23.216,23.434,2024-01-01,00:40:00
23.208,23.077,23.300,2024-01-01,00:45:00
23.116,23.028,23.300,2024-01-01,00:50:00
23.075,23.219,23.300,2024-01-01,00:55:00
22.994,23.649,23.405,2024-01-01,01:00:00
22.949,24.056,23.405,2024-01-01,01:05:00
22.960,24.176,23.405,2024-01-01,01:10:00
22.868,24.009,23.142,2024-01-01,01:15:00
22.795,23.733,23.142,2024-01-01,01:20:00
22.668,23.522,23.142,2024-01-01,01:25:00
22.573,23.379,22.937,2024-01-01,01:30:00
22.495,23.247,22.937,2024-01-01,01:35:00
22.400,23.074,22.937,2024-01-01,01:40:00
22.309,22.859,22.317,2024-01-01,01:45:00
22.187,22.663,22.317,2024-01-01,01:50:00
22.131,22.546,22.317,2024-01-01,01:55:00
21.961,22.509,21.556,2024-01-01,02:00:00
21.842,22.482,21.556,2024-01-01,02:05:00
21.757,22.395,21.556,2024-01-01,02:10:00
21.653,22.250,21.370,2024-01-01,02:15:00
21.537,22.074,21.370,2024-01-01,02:20:00
21.447,21.898,21.370,2024-01-01,02:25:00
21.324,21.721,21.147,2024-01-01,02:30:00
21.241,21.555,21.147,2024-01-01,02:35:00
21.142,21.411,21.147,2024-01-01,02:40:00
21.065,21.289,20.863,2024-01-01,02:45:00
20.910,21.133,20.863,2024-01-01,02:50:00
20.754,20.888,20.863,2024-01-01,02:55:00
20.718,20.553,20.216,2024-01-01,03:00:00
20.570,20.243,20.216,2024-01-01,03:05:00
20.404,20.073,20.216,2024-01-01,03:10:00
20.316,20.043,19.966,2024-01-01,03:15:00
20.219,20.065,19.966,2024-01-01,03:20:00
20.153,20.051,19.966,2024-01-01,03:25:00
20.061,20.002,19.716,2024-01-01,03:30:00
20.016,19.951,19.716,2024-01-01,03:35:00
19.919,19.931,19.716,2024-01-01,03:40:00
19.858,19.944,19.516,2024-01-01,03:45:00
19.753,19.933,19.516,2024-01-01,03:50:00
19.709,19.846,19.516,2024-01-01,03:55:00
19.647,19.681,19.507,2024-01-01,04:00:00
19.611,19.511,19.507,2024-01-01,04:05:00
19.526,19.409,19.507,2024-01-01,04:10:00
19.489,19.375,19.197,2024-01-01,04:15:00
19.440,19.367,19.197,2024-01-01,04:20:00
19.348,19.345,19.197,2024-01-01,04:25:00
19.332,19.309,19.097,2024-01-01,04:30:00
19.287,19.273,19.097,2024-01-01,04:35:00
19.172,19.252,19.097,2024-01-01,04:40:00
19.171,19.246,18.997,2024-01-01,04:45:00
19.128,19.236,18.997,2024-01-01,04:50:00
19.104,19.203,18.997,2024-01-01,04:55:00
19.097,19.147,19.131,2024-01-01,05:00:00
19.161,19.095,19.131,2024-01-01,05:05:00
19.131,19.074,19.131,2024-01-01,05:10:00
19.135,19.083,19.161,2024-01-01,05:15:00
19.099,19.106,19.161,2024-01-01,05:20:00
19.088,19.124,19.161,2024-01-01,05:25:00
19.065,19.138,19.211,2024-01-01,05:30:00
19.032,19.154,19.211,2024-01-01,05:35:00
19.030,19.181,19.211,2024-01-01,05:40:00
19.045,19.217,19.291,2024-01-01,05:45:00
19.010,19.251,19.291,2024-01-01,05:50:00
19.001,19.268,19.291,2024-01-01,05:55:00
19.028,19.270,19.025,2024-01-01,06:00:00
19.163,19.276,19.025,2024-01-01,06:05:00
19.227,19.306,19.025,2024-01-01,06:10:00
19.223,19.361,19.512,2024-01-01,06:15:00
19.197,19.425,19.512,2024-01-01,06:20:00
19.273,19.485,19.512,2024-01-01,06:25:00
19.252,19.541,19.686,2024-01-01,06:30:00
19.316,19.594,19.686,2024-01-01,06:35:00
19.350,19.647,19.686,2024-01-01,06:40:00
19.335,19.699,19.789,2024-01-01,06:45:00
19.391,19.751,19.789,2024-01-01,06:50:00
19.366,19.801,19.789,2024-01-01,06:55:00
19.451,19.852,19.934,2024-01-01,07:00:00
19.504,19.893,19.934,2024-01-01,07:05:00
19.573,19.916,19.934,2024-01-01,07:10:00
19.652,19.922,19.935,2024-01-01,07:15:00
19.586,19.917,19.935,2024-01-01,07:20:00
19.677,19.910,19.935,2024-01-01,07:25:00
19.714,19.900,19.938,2024-01-01,07:30:00
19.693,19.890,19.938,2024-01-01,07:35:00
19.754,19.884,19.938,2024-01-01,07:40:00
19.716,19.881,19.865,2024-01-01,07:45:00
19.836,19.870,19.865,2024-01-01,07:50:00
19.756,19.842,19.865,2024-01-01,07:55:00
19.774,19.797,19.863,2024-01-01,08:00:00
19.823,19.758,19.863,2024-01-01,08:05:00
19.867,19.751,19.863,2024-01-01,08:10:00
19.811,19.775,19.763,2024-01-01,08:15:00
19.782,19.810,19.763,2024-01-01,08:20:00
19.708,19.835,19.763,2024-01-01,08:25:00
